epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.97790,0.17694,2.97416,0.18904,1.00e-03,9.3
2,2.75005,0.21789,2.87357,0.19849,1.00e-03,9.1
3,2.63750,0.23260,2.70150,0.21550,1.00e-03,9.7
4,2.54565,0.25686,3.16680,0.19849,1.00e-03,8.2
5,2.37094,0.29662,2.63484,0.30057,1.00e-03,10.1
6,2.27327,0.33996,2.19488,0.36106,1.00e-03,8.1
7,2.05151,0.38449,2.11134,0.35728,1.00e-03,9.2
8,1.78154,0.47316,1.77523,0.46881,1.00e-03,9.5
9,1.40909,0.58648,1.70870,0.51607,1.00e-03,7.4
10,1.16566,0.65964,1.68157,0.55577,1.00e-03,9.8
11,0.82503,0.76183,1.07183,0.69754,5.00e-04,7.6
12,0.66796,0.81233,0.90329,0.73346,5.00e-04,9.8
13,0.58493,0.83022,0.63656,0.81285,5.00e-04,8.3
14,0.57450,0.83221,0.76388,0.76749,5.00e-04,8.7
15,0.50794,0.86203,0.66774,0.81474,5.00e-04,9.5
16,0.44294,0.87276,0.46778,0.85822,5.00e-04,7.6
17,0.46333,0.86958,0.57049,0.84121,5.00e-04,10.0
18,0.39686,0.88072,0.55478,0.84310,5.00e-04,7.5
19,0.37410,0.88469,0.43692,0.87335,5.00e-04,9.7
20,0.35419,0.89940,0.60492,0.83932,5.00e-04,8.4
21,0.28111,0.92127,0.38934,0.88469,2.50e-04,8.4
22,0.22986,0.93598,0.38409,0.88469,2.50e-04,9.6
23,0.22529,0.93519,0.34766,0.89603,2.50e-04,7.5
24,0.21279,0.93241,0.35652,0.90170,2.50e-04,9.9
25,0.17261,0.95109,0.40628,0.87902,2.50e-04,7.4
26,0.17716,0.94911,0.35959,0.89792,2.50e-04,10.0
27,0.18280,0.94433,0.32616,0.89792,2.50e-04,8.1
28,0.17535,0.95070,0.34697,0.89792,2.50e-04,8.8
29,0.17390,0.94513,0.33224,0.90548,2.50e-04,9.4
30,0.16417,0.95229,0.32993,0.90737,2.50e-04,7.5
31,0.12989,0.96223,0.27622,0.92817,1.25e-04,9.8
32,0.12527,0.96620,0.26206,0.91682,1.25e-04,7.5
33,0.11500,0.96581,0.24919,0.91682,1.25e-04,10.1
34,0.10892,0.96740,0.27240,0.92250,1.25e-04,8.1
35,0.12044,0.96143,0.23332,0.93195,1.25e-04,8.8
36,0.09200,0.97376,0.24929,0.92439,1.25e-04,9.5
37,0.10067,0.97217,0.25149,0.91871,1.25e-04,7.5
38,0.10997,0.96541,0.23148,0.93762,1.25e-04,9.8
39,0.09157,0.97734,0.24697,0.93384,1.25e-04,7.4
40,0.09534,0.97416,0.25799,0.91871,1.25e-04,9.9
