epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.92652,0.20954,2.86398,0.20983,1.00e-03,7.5
2,2.55573,0.29066,2.70102,0.25520,1.00e-03,9.6
3,2.40203,0.32763,2.55197,0.24197,1.00e-03,6.6
4,2.29432,0.35030,2.44625,0.28166,1.00e-03,9.0
5,2.18408,0.37853,2.47271,0.26087,1.00e-03,6.7
6,2.17033,0.37575,2.40009,0.31002,1.00e-03,9.0
7,2.11371,0.39801,2.36281,0.30813,1.00e-03,6.7
8,2.08272,0.39523,2.35319,0.31758,1.00e-03,9.1
9,2.08436,0.40835,2.25697,0.35917,1.00e-03,6.6
10,2.03199,0.41312,2.36095,0.33081,1.00e-03,9.0
11,1.99486,0.43459,2.25112,0.34216,5.00e-04,6.6
12,1.96778,0.44095,2.29475,0.33837,5.00e-04,9.0
13,1.94002,0.44334,2.25759,0.35539,5.00e-04,6.5
14,1.92327,0.43698,2.23828,0.35917,5.00e-04,9.0
15,1.94429,0.44215,2.25137,0.35539,5.00e-04,6.6
16,1.92141,0.43857,2.26259,0.36484,5.00e-04,9.1
17,1.90764,0.45606,2.23181,0.38185,5.00e-04,6.5
18,1.90398,0.45527,2.26707,0.35350,5.00e-04,8.9
19,1.90132,0.45845,2.22463,0.36673,5.00e-04,6.5
20,1.88743,0.45089,2.25566,0.36673,5.00e-04,9.0
21,1.87969,0.45885,2.22345,0.37429,2.50e-04,6.5
22,1.86097,0.46879,2.21901,0.37618,2.50e-04,8.8
23,1.85990,0.47078,2.20400,0.38185,2.50e-04,6.5
24,1.87553,0.46680,2.21976,0.37051,2.50e-04,9.0
25,1.85503,0.46720,2.17925,0.39509,2.50e-04,6.5
26,1.84587,0.47316,2.22349,0.37996,2.50e-04,8.9
27,1.86486,0.45924,2.20166,0.39319,2.50e-04,6.6
28,1.87735,0.44970,2.19950,0.37240,2.50e-04,9.1
29,1.86866,0.46243,2.19989,0.38563,2.50e-04,6.6
30,1.84489,0.46998,2.18182,0.38374,2.50e-04,8.9
31,1.86830,0.46362,2.19050,0.38185,1.25e-04,6.5
32,1.82812,0.48350,2.17781,0.38941,1.25e-04,9.0
33,1.82972,0.47356,2.19623,0.37996,1.25e-04,6.5
34,1.83678,0.47078,2.17239,0.37618,1.25e-04,8.9
35,1.83743,0.47356,2.14814,0.38752,1.25e-04,6.5
36,1.81460,0.47157,2.15521,0.39130,1.25e-04,9.0
37,1.83753,0.47078,2.20346,0.38185,1.25e-04,6.5
38,1.81349,0.48549,2.16917,0.39509,1.25e-04,8.9
39,1.84468,0.47952,2.15404,0.40076,1.25e-04,6.6
40,1.85120,0.46561,2.15870,0.37996,1.25e-04,8.8
