epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.85921,0.20199,2.76868,0.21361,1.00e-03,7.9
2,2.66628,0.23340,2.69408,0.23440,1.00e-03,8.2
3,2.54876,0.26282,2.58647,0.22684,1.00e-03,7.5
4,2.44261,0.28231,2.42025,0.29301,1.00e-03,8.2
5,2.36118,0.30060,2.41944,0.28355,1.00e-03,7.7
6,2.30857,0.32127,2.64278,0.26465,1.00e-03,8.0
7,2.26393,0.33002,2.35080,0.29301,1.00e-03,7.6
8,2.21280,0.33757,2.27142,0.33270,1.00e-03,8.2
9,2.17582,0.36421,2.42468,0.31002,1.00e-03,7.7
10,2.13654,0.37058,2.38218,0.28355,1.00e-03,8.2
11,2.02195,0.40278,2.32903,0.30246,5.00e-04,7.8
12,2.00679,0.40358,2.17133,0.35728,5.00e-04,8.1
13,1.94819,0.40915,2.40881,0.29301,5.00e-04,7.8
14,1.92885,0.43260,2.19063,0.33081,5.00e-04,7.9
15,1.93358,0.41869,2.12165,0.36106,5.00e-04,7.9
16,1.90720,0.43141,2.07840,0.38185,5.00e-04,8.2
17,1.87533,0.44652,2.45171,0.26654,5.00e-04,7.7
18,1.83918,0.44652,2.24069,0.31758,5.00e-04,7.9
19,1.81239,0.46918,2.48900,0.29868,5.00e-04,8.2
20,1.80319,0.47714,2.07725,0.36673,5.00e-04,7.6
21,1.73804,0.49543,1.97346,0.39319,2.50e-04,8.2
22,1.71639,0.49662,2.07662,0.35917,2.50e-04,7.4
23,1.68744,0.50696,2.00034,0.41777,2.50e-04,8.4
24,1.69335,0.50616,2.02168,0.41210,2.50e-04,7.5
25,1.65112,0.51849,2.06162,0.37807,2.50e-04,8.1
26,1.64093,0.52485,2.00730,0.41966,2.50e-04,7.4
27,1.63068,0.51889,2.00855,0.38374,2.50e-04,8.6
28,1.63004,0.52565,1.99431,0.41021,2.50e-04,7.2
29,1.59615,0.53917,1.88752,0.43289,2.50e-04,8.9
30,1.57353,0.55626,1.98556,0.42155,2.50e-04,7.1
31,1.53646,0.55905,1.98842,0.40643,1.25e-04,8.6
32,1.52820,0.57256,1.97928,0.40832,1.25e-04,7.0
33,1.51432,0.56740,1.75811,0.48393,1.25e-04,9.2
34,1.49867,0.57893,1.86056,0.44423,1.25e-04,6.8
35,1.46329,0.58926,1.86526,0.45369,1.25e-04,8.8
36,1.46205,0.59523,1.93416,0.42911,1.25e-04,6.7
37,1.47776,0.57893,1.95651,0.44045,1.25e-04,9.0
38,1.46437,0.58648,1.81812,0.47637,1.25e-04,6.6
39,1.46854,0.58529,1.85643,0.45558,1.25e-04,8.9
40,1.45150,0.58887,1.79828,0.47070,1.25e-04,6.7
