epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.49865,0.31133,1.81571,0.48582,1.00e-04,9.3
2,1.43966,0.60318,1.13244,0.68053,1.00e-04,6.8
3,0.85983,0.77773,0.79709,0.76371,1.00e-04,8.9
4,0.54323,0.86004,0.62249,0.83176,1.00e-04,6.6
5,0.38646,0.89901,0.52859,0.86389,1.00e-04,8.9
6,0.30409,0.91928,0.52399,0.85066,1.00e-04,6.7
7,0.24900,0.93280,0.39467,0.88280,1.00e-04,8.8
8,0.20570,0.94513,0.38249,0.88847,1.00e-04,6.7
9,0.15890,0.95984,0.43766,0.87335,1.00e-04,8.5
10,0.16230,0.95507,0.41428,0.88280,1.00e-04,6.9
11,0.12429,0.96740,0.29717,0.91493,5.00e-05,8.2
12,0.09466,0.97734,0.31280,0.91682,5.00e-05,7.1
13,0.08688,0.97614,0.29585,0.91304,5.00e-05,8.0
14,0.08580,0.97734,0.30552,0.90926,5.00e-05,7.9
15,0.07177,0.98131,0.33641,0.90170,5.00e-05,7.2
16,0.05582,0.98688,0.29810,0.90926,5.00e-05,8.3
17,0.06442,0.98728,0.32272,0.90737,5.00e-05,6.8
18,0.06009,0.98489,0.31506,0.90548,5.00e-05,8.7
19,0.05721,0.98410,0.31279,0.91304,5.00e-05,6.7
20,0.05773,0.98728,0.32378,0.90926,5.00e-05,8.7
21,0.04933,0.98688,0.28326,0.92250,2.50e-05,6.7
22,0.03606,0.99165,0.28627,0.92060,2.50e-05,8.9
23,0.03840,0.99324,0.27099,0.92628,2.50e-05,6.8
24,0.03680,0.99165,0.26216,0.92817,2.50e-05,8.9
25,0.02771,0.99563,0.26951,0.92628,2.50e-05,6.9
26,0.03287,0.99245,0.28496,0.91682,2.50e-05,8.9
27,0.03100,0.99284,0.27275,0.92250,2.50e-05,6.8
28,0.04483,0.98887,0.30821,0.91493,2.50e-05,8.4
29,0.03706,0.99085,0.29858,0.92250,2.50e-05,7.2
30,0.02878,0.99284,0.30383,0.92250,2.50e-05,7.8
31,0.02660,0.99404,0.29326,0.92628,1.25e-05,7.5
32,0.03069,0.99284,0.29563,0.92628,1.25e-05,7.3
33,0.02933,0.99324,0.30202,0.92060,1.25e-05,7.9
34,0.02618,0.99443,0.27473,0.92439,1.25e-05,7.2
35,0.02537,0.99443,0.24556,0.93006,1.25e-05,8.3
36,0.02304,0.99404,0.24389,0.93195,1.25e-05,6.6
37,0.02094,0.99602,0.26203,0.92817,1.25e-05,8.6
38,0.02247,0.99602,0.24543,0.93195,1.25e-05,6.9
39,0.02304,0.99523,0.23769,0.93195,1.25e-05,8.7
40,0.02193,0.99523,0.24882,0.93006,1.25e-05,6.7
