epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,2.49833,0.31173,1.85056,0.48393,1.00e-04,9.3
2,1.43567,0.60318,1.14153,0.67864,1.00e-04,8.7
3,0.85050,0.77535,0.78476,0.76749,1.00e-04,6.8
4,0.54340,0.85646,0.64298,0.83176,1.00e-04,8.3
5,0.38303,0.89821,0.53351,0.85633,1.00e-04,7.1
6,0.30461,0.91730,0.48726,0.87524,1.00e-04,7.8
7,0.25041,0.93201,0.42237,0.87713,1.00e-04,7.5
8,0.20810,0.94235,0.43012,0.87713,1.00e-04,7.5
9,0.15684,0.95746,0.40353,0.88469,1.00e-04,8.0
10,0.15762,0.95746,0.38756,0.89225,1.00e-04,6.9
11,0.11805,0.97018,0.32521,0.91115,5.00e-05,8.5
12,0.09321,0.97614,0.34665,0.90926,5.00e-05,6.6
13,0.08597,0.97813,0.33932,0.90548,5.00e-05,8.7
14,0.07525,0.98211,0.36013,0.90737,5.00e-05,6.5
15,0.07113,0.98131,0.37267,0.90359,5.00e-05,8.5
16,0.05891,0.98569,0.36137,0.89981,5.00e-05,6.6
17,0.06372,0.98529,0.35336,0.91493,5.00e-05,8.8
18,0.06580,0.97972,0.36382,0.90737,5.00e-05,6.7
19,0.05803,0.98410,0.35131,0.90170,5.00e-05,8.7
20,0.06094,0.98370,0.37229,0.89981,5.00e-05,6.6
21,0.04819,0.98966,0.31589,0.92250,2.50e-05,8.8
22,0.03229,0.99364,0.32509,0.92060,2.50e-05,6.6
23,0.04207,0.99006,0.30129,0.92250,2.50e-05,8.6
24,0.03772,0.99165,0.30292,0.92250,2.50e-05,6.6
25,0.02686,0.99602,0.31821,0.91871,2.50e-05,8.7
26,0.03133,0.99205,0.32031,0.91871,2.50e-05,6.7
27,0.03181,0.99205,0.30442,0.92060,2.50e-05,8.6
28,0.04157,0.99046,0.35182,0.90926,2.50e-05,6.7
29,0.03726,0.99085,0.32154,0.92250,2.50e-05,8.7
30,0.02889,0.99245,0.33023,0.91493,2.50e-05,6.6
31,0.02469,0.99443,0.32621,0.92628,1.25e-05,8.7
32,0.03086,0.99284,0.33373,0.91493,1.25e-05,7.0
33,0.02843,0.99284,0.33036,0.91682,1.25e-05,8.2
34,0.02552,0.99483,0.31733,0.92060,1.25e-05,7.0
35,0.02452,0.99483,0.29983,0.92628,1.25e-05,7.8
36,0.02466,0.99404,0.28850,0.92250,1.25e-05,7.5
37,0.02109,0.99563,0.30775,0.92060,1.25e-05,7.4
38,0.02232,0.99563,0.28930,0.92060,1.25e-05,7.8
39,0.02459,0.99324,0.27515,0.92628,1.25e-05,7.0
40,0.02342,0.99404,0.29147,0.91493,1.25e-05,8.0
